country_iso3,legacy_dataset_name
PSE,opt-violent-and-threatening-incidents-against-healthcare
MMR,myanmar-attacks-on-aid-operations-education-health-and-protection
SDN,sudan-violence-against-civilians-and-vital-civilian-facilities
SYR,syria-violent-and-threatening-incidents-against-healthcare
AFG,afghanistan-violence-against-civilians-and-vital-civilian-facilities
BFA,burkina-faso-violence-against-civilians-and-vital-civilian-facilities
CMR,cameroon-attacks-on-civilians-and-vital-civilian-facilities
UKR,ukraine-data-on-attacks-on-aid-operations-education-health-and-protection
SSD,south-sudan-attacks-on-civilians-and-vital-civilian-facilities
COD,attacks-on-ebola-response
ETH,ethiopia-attacks-on-aid-operations-education-health-and-protection
NGA,nigeria-violence-agaiinst-civilians-and-vital-civilian-faciltties
YEM,yemen-violence-aganist-civilian-and-vital-civilian-faciltities
MLI,mali-violence-against-civilians-and-vital-civilian-facilities
NER,niger-violence-against-cvilians-and-vital-civilian-facilities
IRQ,iraq-violence-against-civilians-and-vital-civilian-facilities
LBY,libya-violence-against-civilians-and-vital-civilian-facilities
MOZ,mozambique-attacks-on-aid-operations-education-health-and-protection
HTI,haiti-attacks-on-aid-operations-education-health-and-protection
SOM,somalia-violence-agaiinst-civilian-and-vital-civilian-facilitites
CAF,car-violence-against-civilians-and-vital-civlian-facilities
MEX,mexico-violent-and-threatening-incidents-against-health-care
PAK,pakistan-violence-against-civilians-and-vital-civilian-facilities
LBN,aid-security-risk-in-lebanon