dataset_name,upstream,field_name,field_number,field_type,terms,tags,descriptions
insecurity-insight-crsv-overview,Country,Country,0,,,,
insecurity-insight-crsv-overview,Year,Year,1,,,,
insecurity-insight-crsv-overview,Country ISO,Country ISO,2,,,,
insecurity-insight-crsv-overview,Recorded SV Events,Recorded SV Events,3,,,,
insecurity-insight-crsv-overview,CRSV events,CRSV events,4,,,,
insecurity-insight-crsv-overview,SV by Security Personnel,SV by Security Personnel,5,,,,
insecurity-insight-crsv-overview,Events Affecting Minors,Events Affecting Minors,6,,,,
insecurity-insight-crsv-overview,Events Affecting Aid Workers,Events Affecting Aid Workers,7,,,,
insecurity-insight-crsv-overview,Events Affecting Health Workers,Events Affecting Health Workers,8,,,,
insecurity-insight-crsv-overview,Events Affecting Educators,Events Affecting Educators,9,,,,
insecurity-insight-education-overview,Country,Country,0,,,,
insecurity-insight-education-overview,Year,Year,1,,,,
insecurity-insight-education-overview,Country ISO,Country ISO,2,,,,
insecurity-insight-education-overview,Number Of Events,Number Of Events,3,,,,
insecurity-insight-education-overview,Educators Killed,Educators Killed,4,,,,
insecurity-insight-education-overview,Educators Injured,Educators Injured,5,,,,
insecurity-insight-education-overview,Educators Kidnapped,Educators Kidnapped,6,,,,
insecurity-insight-education-overview,Educators Arrested,Educators Arrested,7,,,,
insecurity-insight-education-overview,Attacks on Schools,Attacks on Schools,8,,,,
insecurity-insight-education-overview,Attacks On Universities,Attacks On Universities,9,,,,
insecurity-insight-education-overview,Military Occupation of Schools,Military Occupation of Schools,10,,,,
insecurity-insight-education-overview,Forced Entry into Schools,Forced Entry into Schools,11,,,,
insecurity-insight-education-overview,Damage/Destruction To School Event,Damage/Destruction To School Event,12,,,,
insecurity-insight-education-overview,Attacks on Students and Teachers,Attacks on Students and Teachers,13,,,,
insecurity-insight-education-overview,Students Attacked in School,Students Attacked in School,14,,,,
insecurity-insight-education-overview,Students Killed,Students Killed,15,,,,
insecurity-insight-education-overview,Students Injured,Students Injured,16,,,,
insecurity-insight-education-overview,Students Kidnapped,Students Kidnapped,17,,,,
insecurity-insight-explosive-overview,Country,Country,0,,,,
insecurity-insight-explosive-overview,Year,Year,1,,,,
insecurity-insight-explosive-overview,Country ISO,Country ISO,2,,,,
insecurity-insight-explosive-overview,Number Of Events,Number Of Events,3,,,,
insecurity-insight-explosive-overview,Health Affected,Health Affected,4,,,,
insecurity-insight-explosive-overview,Education Affected,Education Affected,5,,,,
insecurity-insight-explosive-overview,Aid Operations Affected,Aid Operations Affected,6,,,,
insecurity-insight-explosive-overview,Protection Affected,Protection Affected,7,,,,
insecurity-insight-explosive-overview,Air-Delivered Incident,Air-Delivered Incident,8,,,,
insecurity-insight-explosive-overview,Ground-Launched Incident,Ground-Launched Incident,9,,,,
insecurity-insight-explosive-overview,Directly-Emplaced Incident,Directly-Emplaced Incident,10,,,,
insecurity-insight-healthcare-overview,Country,Country,0,,,,
insecurity-insight-healthcare-overview,Year,Year,1,,,,
insecurity-insight-healthcare-overview,Country ISO,Country ISO,2,,,,
insecurity-insight-healthcare-overview,Number Of Events,Number Of Events,3,,,,
insecurity-insight-healthcare-overview,Number of Attacks on Health Facilities Reporting Damege or Dest,Number of Attacks on Health Facilities Reporting Damege or Dest,4,,,,
insecurity-insight-healthcare-overview,Health Workers Killed,Health Workers Killed,5,,,,
insecurity-insight-healthcare-overview,Health Workers Injured,Health Workers Injured,6,,,,
insecurity-insight-healthcare-overview,Health Workers Kidnapped,Health Workers Kidnapped,7,,,,
insecurity-insight-healthcare-overview,Health Workers Arrested,Health Workers Arrested,8,,,,
insecurity-insight-protection-overview,Country,Country,0,,,,
insecurity-insight-protection-overview,Year,Year,1,,,,
insecurity-insight-protection-overview,Country ISO,Country ISO,2,,,,
insecurity-insight-protection-overview,Number Of Events,Number Of Events,3,,,,
insecurity-insight-protection-overview,Number of incidents involving state perpetrators,Number of incidents involving state perpetrators,4,,,,
insecurity-insight-protection-overview,Number of incidents involving non-state perpetrators,Number of incidents involving non-state perpetrators,5,,,,
insecurity-insight-protection-overview,Number of events involving shelling/airstrikes,Number of events involving shelling/airstrikes,6,,,,
insecurity-insight-protection-overview,Number of events involving firearms,Number of events involving firearms,7,,,,
insecurity-insight-protection-overview,Number of events involving arson,Number of events involving arson,8,,,,
insecurity-insight-protection-overview,Total number of camp infastructure damaged/destroyed,Total number of camp infastructure damaged/destroyed,9,,,,
insecurity-insight-protection-overview,Total number of camp residents killed,Total number of camp residents killed,10,,,,
insecurity-insight-protection-overview,Total number of service providers killed,Total number of service providers killed,11,,,,
insecurity-insight-aidworkerKIKA-overview,Country,Country,0,,,,
insecurity-insight-aidworkerKIKA-overview,Year,Year,1,,,,
insecurity-insight-aidworkerKIKA-overview,Country ISO,Country ISO,2,,,,
insecurity-insight-aidworkerKIKA-overview,Number Of Events,Number Of Events,3,,,,
insecurity-insight-aidworkerKIKA-overview,Total Aid Workers KIKA Victims,Total Aid Workers KIKA Victims,4,,,,
insecurity-insight-aidworkerKIKA-overview,Total Aid Workers Killed,Total Aid Workers Killed,5,,,,
insecurity-insight-aidworkerKIKA-overview,Total Aid Workers Injured,Total Aid Workers Injured,6,,,,
insecurity-insight-aidworkerKIKA-overview,Total Aid Workers Kidnapped,Total Aid Workers Kidnapped,7,,,,
insecurity-insight-aidworkerKIKA-overview,Total Aid Workers Arrested,Total Aid Workers Arrested,8,,,,
insecurity-insight-aidworkerKIKA-overview,Total Aid Workers Killed In Captivity,Total Aid Workers Killed In Captivity,9,,,,
insecurity-insight-aidworkerKIKA-overview,Total Aid Workers Maltreated In Captivity,Total Aid Workers Maltreated In Captivity,10,,,,
